cluster,depth,startdate,type,sequence,seqdep,phase
7,10.0,2003-10-31,E,E7,E7,0
11,10.0,2003-11-02,E,E11,E11,0
14,33.0,2003-11-05,E,E14,E14,1
11,113.7,2003-11-06,E,E11,E11D,1
9,10.0,2003-11-09,E,E9,E9,1
1,101.0,2003-11-11,E,E1,E1D,2
11,33.0,2003-11-11,E,E11,E11,2
11,33.0,2003-11-11,E,E11,E11,2
6,33.0,2003-11-12,E,E6,E6,2
7,384.9,2003-11-12,E,E7,E7DD,2
11,10.0,2003-11-13,E,E11,E11,2
11,10.0,2003-11-14,E,E11,E11,2
5,33.0,2003-11-17,E,E5,E5,2
6,35.0,2003-11-18,E,E6,E6,2
11,35.0,2003-11-25,E,E11,E11,0
13,10.0,2003-12-01,E,E13,E13,0
7,10.0,2003-12-05,E,E7,E7,1
5,33.0,2003-12-09,E,E5,E5,1
8,10.0,2003-12-10,E,E8,E8,2
9,10.0,2003-12-21,E,E9,E9,3
0,8.38,2003-12-22,E,E0,E0,3
11,10.0,2003-12-25,E,E11,E11,0
11,10.0,2003-12-25,E,E11,E11,0
11,34.6,2003-12-25,E,E11,E11,0
14,33.0,2003-12-25,E,E14,E14,0
11,10.0,2003-12-26,E,E11,E11,0
13,10.0,2003-12-26,E,E13,E13,0
11,10.0,2003-12-27,E,E11,E11,0
11,10.0,2003-12-27,E,E11,E11,0
11,10.0,2003-12-27,E,E11,E11,0
11,10.0,2003-12-27,E,E11,E11,0
7,33.0,2003-12-29,E,E7,E7,0
0,29.4,2004-01-01,E,E0,E0,1
11,10.0,2004-01-03,E,E11,E11,1
11,10.0,2004-01-03,E,E11,E11,1
11,10.0,2004-01-03,E,E11,E11,1
11,22.0,2004-01-03,E,E11,E11,1
11,10.0,2004-01-03,E,E11,E11,1
11,57.7,2004-01-09,E,E11,E11,2
11,673.1,2004-01-11,E,E11,E11DD,2
2,5.3,2004-01-11,E,E2,E2,2
7,,2004-01-14,V,V7,V7,2
8,,2004-01-14,V,V8,V8,2
11,10.0,2004-01-15,E,E11,E11,2
14,10.0,2004-01-16,E,E14,E14,2
11,,2004-01-20,V,V11,V11,3
11,129.8,2004-01-25,E,E11,E11D,0
6,17.4,2004-01-28,E,E6,E6,0
4,10.0,2004-01-29,E,E4,E4,0
6,,2004-01-29,V,V6,V6,0
14,29.2,2004-02-04,E,E14,E14,1
