,”long","lat","clust"
"600806",-178.0802,-32.5277,5
"600807",126.7559,9.1313,7
"600808",126.813,9.0668,7
"600809",179.1494,-37.7408,5
"600810",-78.0866,-11.0529,4
"600811",142.5796,11.6616,2
"600812",126.7912,9.177,7
"600813",152.5319,-5.771,12
"600814",-67.6438,19.0352,15
"600815",-67.9968,18.9627,15
"600816",-67.6242,19.0327,15
"600817",124.3423,0.0036,7
"600818",-68.0325,19.1535,15
"600819",127.3223,9.3165,7
"600820",-178.439,51.5,13
"600821",-67.6045,18.8521,15
"600822",83.3035,32.7191,14
"600823",-67.6812,19.1025,15
"600824",-67.731,19.1015,15
"600825",-177.7736,-32.3201,5
"600826",-67.672,19.0198,15
"600827",-67.8053,18.7352,15
"600828",-27.2296,-55.489,4
"600829",141.869,34.604,8
"600830",-67.7527,19.0355,15
"600831",-15.6524,-44.2843,4
"600832",-67.6712,19.042,15
"600833",-64.6912,19.1348,15
"600834",-67.6805,19.1313,15
"600835",-67.7762,19.0698,15
"600836",-67.8435,19.0952,15
"600837",166.8468,-12.8372,12
"600838",144.1023,21.4436,2
"600839",-178.2835,-31.3341,5
"600840",-68.015,19.0368,15
