Latitude,Longitude,VEI,cluster,depth,mag,startdate,type,sequence,scale
-35.223,-70.568,3,3,,,2011-02-17,V,V3,
55.918,162.117,,7,33.0,6.1,2011-02-20,E,E7,
-43.583,172.68,,11,5.9,6.1,2011-02-21,E,E11,
-26.142,178.394,,11,558.1,6.6,2011-02-21,E,E11,
1.358,124.792,1,6,,,2011-02-22,V,V6,
-29.701,-111.981,,4,10.0,6.1,2011-03-01,E,E4,
-18.021,-69.362,,3,118.0,6.3,2011-03-06,E,E3,
-56.422,-27.063,,3,87.7,6.5,2011-03-06,E,E3,
-10.349,160.766,,11,22.0,6.4,2011-03-07,E,E11,
-5.985,149.777,,11,29.0,6.4,2011-03-09,E,E11,
38.315,142.434,,7,22.0,6.0,2011-03-09,E,E7,
38.296,142.808,,7,15.0,6.4,2011-03-09,E,E7,
38.435,142.842,,7,32.0,7.5,2011-03-09,E,E7,
-6.873,116.72,,6,510.6,6.6,2011-03-10,E,E6,
39.342,142.872,,7,27.1,6.0,2011-03-11,E,E7,
37.014,138.376,,7,9.3,6.3,2011-03-11,E,E7,
36.398,141.864,,7,52.8,6.0,2011-03-11,E,E7,
35.999,141.805,,7,23.7,6.3,2011-03-11,E,E7,
39.005,142.633,,7,17.4,6.1,2011-03-11,E,E7,
40.483,139.055,,7,10.0,6.2,2011-03-11,E,E7,
39.14,142.967,,7,27.6,6.0,2011-03-11,E,E7,
37.469,141.176,,7,37.3,6.0,2011-03-11,E,E7,
38.017,142.657,,7,42.8,6.0,2011-03-11,E,E7,
37.367,143.017,,7,17.0,6.1,2011-03-11,E,E7,
36.166,141.562,,7,6.8,6.5,2011-03-11,E,E7,
37.047,144.541,,7,41.0,6.1,2011-03-11,E,E7,
36.569,141.486,,7,39.6,6.2,2011-03-11,E,E7,
37.442,141.195,,7,49.2,6.0,2011-03-11,E,E7,
39.003,142.29,,7,42.7,6.3,2011-03-11,E,E7,
36.419,141.876,,7,32.3,6.4,2011-03-11,E,E7,
38.969,143.37,,7,2.8,6.7,2011-03-11,E,E7,
37.788,144.233,,7,25.4,6.2,2011-03-11,E,E7,
37.211,141.601,,7,40.1,6.2,2011-03-11,E,E7,
37.93,143.802,,7,35.0,6.3,2011-03-11,E,E7,
36.023,142.269,,7,16.0,6.6,2011-03-11,E,E7,
36.004,142.067,,7,49.3,6.5,2011-03-11,E,E7,
38.29,142.813,,7,51.7,6.2,2011-03-11,E,E7,
39.03,142.284,,7,56.3,6.2,2011-03-11,E,E7,
38.058,144.59,,7,18.6,7.7,2011-03-11,E,E7,
36.281,141.111,,7,42.6,7.9,2011-03-11,E,E7,
37.812,144.233,,7,40.6,6.1,2011-03-11,E,E7,
38.095,142.492,,7,40.6,6.2,2011-03-11,E,E7,
38.297,142.373,,7,29.0,9.1,2011-03-11,E,E7,
37.712,141.184,,7,32.3,6.3,2011-03-11,E,E7,
37.359,143.351,,7,35.0,6.4,2011-03-11,E,E7,
37.623,142.155,,7,50.7,6.3,2011-03-11,E,E7,
36.586,141.823,,7,24.7,6.3,2011-03-11,E,E7,
37.934,144.529,,7,39.5,6.1,2011-03-11,E,E7,
36.823,141.824,,7,28.4,6.1,2011-03-11,E,E7,
39.031,142.349,,7,45.4,6.3,2011-03-11,E,E7,
35.712,140.875,,7,47.5,6.0,2011-03-11,E,E7,
37.357,144.725,,7,35.9,6.3,2011-03-11,E,E7,
37.961,142.724,,7,11.7,6.2,2011-03-11,E,E7,
37.337,144.237,,7,47.3,6.1,2011-03-11,E,E7,
39.185,142.76,,7,26.5,6.0,2011-03-11,E,E7,
39.241,142.463,,7,25.7,6.6,2011-03-11,E,E7,
2.78,125.4,2,6,,,2011-03-11,V,V6,
37.249,141.159,,7,38.0,6.2,2011-03-12,E,E7,
38.047,141.72,,7,15.0,6.1,2011-03-12,E,E7,
37.594,142.648,,7,20.0,6.5,2011-03-12,E,E7,
35.723,141.637,,7,8.0,6.2,2011-03-13,E,E7,
37.785,142.456,,7,14.0,6.1,2011-03-14,E,E7,
40.333,143.287,,7,19.8,6.1,2011-03-15,E,E7,
37.576,142.237,,7,28.0,6.1,2011-03-15,E,E7,
35.272,138.582,,7,9.0,6.0,2011-03-15,E,E7,
-17.275,167.826,,11,17.0,6.3,2011-03-17,E,E11,
40.136,142.168,,7,29.0,6.1,2011-03-17,E,E7,
18.999,121.244,,8,35.0,6.0,2011-03-20,E,E8,
37.244,144.003,,7,11.0,6.5,2011-03-22,E,E7,
37.325,141.791,,7,31.0,6.3,2011-03-22,E,E7,
39.85,143.442,,7,7.3,6.4,2011-03-22,E,E7,
20.687,99.822,,8,8.0,6.8,2011-03-24,E,E8,
38.772,141.88,,7,39.0,6.2,2011-03-25,E,E7,
-15.851,-179.406,,11,10.0,6.1,2011-03-26,E,E11,
38.415,142.011,,7,19.0,6.2,2011-03-27,E,E7,
37.401,142.29,,7,15.0,6.1,2011-03-29,E,E7,
-4.271,152.203,2,11,,,2011-03-29,V,V11,
56.056,160.642,1,7,,,2011-03-30,V,V7,
-16.541,-177.517,,11,15.5,6.4,2011-03-31,E,E11,
38.922,141.821,,7,42.0,6.1,2011-03-31,E,E7,
39.323,141.95,,7,41.0,6.0,2011-04-01,E,E7,
35.662,26.56,,9,59.9,6.1,2011-04-01,E,E9,
-9.848,107.693,,10,14.0,6.8,2011-04-03,E,E10,
-17.642,-178.585,,11,551.7,6.4,2011-04-03,E,E11,
1.615,97.097,,10,25.3,6.0,2011-04-06,E,E10,
45.95,-130.0,0,5,,,2011-04-06,V,V5,
17.208,-94.338,,0,166.2,6.7,2011-04-07,E,E0,
38.276,141.588,,7,42.0,7.1,2011-04-07,E,E7,
30.002,131.783,,8,17.3,6.0,2011-04-09,E,E8,
35.417,140.575,,7,15.0,6.2,2011-04-11,E,E7,
37.001,140.401,,7,11.0,6.6,2011-04-11,E,E7,
37.107,140.368,,7,11.0,6.0,2011-04-12,E,E7,
39.583,143.34,,7,22.0,6.1,2011-04-13,E,E7,
-34.336,179.874,,11,86.0,6.6,2011-04-18,E,E11,
35.579,140.305,,7,43.0,6.2,2011-04-21,E,E7,
-10.375,161.2,,11,79.0,6.8,2011-04-23,E,E11,
39.097,142.87,,7,31.0,6.0,2011-04-23,E,E7,
18.13,145.8,2,1,,,2011-04-23,V,V1,
-4.586,122.771,,6,8.0,6.1,2011-04-24,E,E6,
6.851,-82.333,,14,8.0,6.2,2011-04-30,E,E14,
38.17,144.032,,7,11.0,6.1,2011-05-05,E,E7,
-56.65,147.411,,11,9.0,6.1,2011-05-09,E,E11,
-20.244,168.226,,11,11.0,6.9,2011-05-10,E,E11,
9.954,-84.313,,14,72.8,6.0,2011-05-13,E,E14,
37.396,141.341,,7,35.0,6.1,2011-05-13,E,E7,
36.409,70.748,,13,207.3,6.0,2011-05-14,E,E13,
12.602,-86.845,2,14,,,2011-05-14,V,V14,
-6.104,154.414,,11,40.0,6.5,2011-05-15,E,E11,
0.569,-25.647,,14,10.0,6.1,2011-05-15,E,E14,
32.884,131.104,1,8,,,2011-05-15,V,V8,
64.416,-17.316,4,9,,,2011-05-21,V,V9,
-37.578,-73.691,,3,21.0,6.3,2011-06-01,E,E3,
37.285,143.907,,7,14.0,6.2,2011-06-03,E,E7,
-15.4,167.83,1,11,,,2011-06-04,V,V11,
-40.59,-72.117,5,3,,,2011-06-04,V,V3,
-55.843,146.62,,11,3.0,6.4,2011-06-05,E,E11,
-43.564,172.743,,11,6.1,6.0,2011-06-13,E,E11,
2.515,126.457,,6,61.1,6.4,2011-06-13,E,E6,
13.37,41.7,4,13,,,2011-06-13,V,V13,
-5.928,151.04,,11,16.0,6.3,2011-06-16,E,E11,
-21.701,-68.228,,3,128.0,6.5,2011-06-20,E,E3,
-11.479,165.551,,11,14.0,6.0,2011-06-21,E,E11,
39.955,142.205,,7,33.0,6.7,2011-06-22,E,E7,
-2.764,35.914,0,2,,,2011-06-22,V,V2,
52.05,-171.836,,5,52.0,7.3,2011-06-24,E,E5,
-2.384,136.631,,6,17.0,6.4,2011-06-26,E,E6,
1.358,124.792,2,6,,,2011-06-26,V,V6,
1.112,124.737,3,6,,,2011-07-03,V,V6,
-29.539,-176.34,,11,17.0,7.6,2011-07-06,E,E11,
-29.337,-177.051,,11,14.0,6.0,2011-07-09,E,E11,
38.034,143.264,,7,23.0,7.0,2011-07-10,E,E7,
-29.487,-176.579,,11,11.0,6.1,2011-07-11,E,E11,
9.509,122.175,,6,19.0,6.4,2011-07-11,E,E6,
-60.762,-23.523,,3,10.0,6.2,2011-07-15,E,E3,
-33.819,-71.832,,3,20.0,6.1,2011-07-16,E,E3,
54.787,-161.29,,5,36.0,6.2,2011-07-16,E,E5,
40.081,71.41,,13,20.0,6.1,2011-07-19,E,E13,
-10.34,162.01,,11,21.0,6.0,2011-07-20,E,E11,
52.825,-169.944,2,5,,,2011-07-20,V,V5,
-20.325,-178.595,,11,612.1,6.0,2011-07-22,E,E11,
38.898,141.815,,7,41.0,6.4,2011-07-23,E,E7,
37.727,141.394,,7,35.0,6.3,2011-07-24,E,E7,
-3.182,150.611,,11,10.0,6.4,2011-07-25,E,E11,
25.101,-109.525,,0,12.0,6.0,2011-07-26,E,E0,
10.801,-43.393,,14,10.0,6.0,2011-07-27,E,E14,
-23.784,179.76,,11,523.0,6.7,2011-07-29,E,E11,
